Name,Group,1-1,1-2,1-3,2-1,2-2,2-3
Person 1,,1,0,0,0,0,0
Person 2,,0,1,0,0,0,0
Person 3,,0,0,1,0,0,0
Person 4,,0,0,0,1,0,0
Person 5,,0,0,0,0,1,0
Person 6,,0,0,0,0,0,1
Person 7,,1,0,0,0,0,0
Person 8,,0,1,0,0,0,0
Person 9,,0,0,1,0,0,0
Person 10,,0,0,0,1,0,0
Person 11,,0,0,0,0,1,0
Person 12,,0,0,0,0,0,1
Person 13,,1,0,0,0,0,0
Person 14,,0,1,0,0,0,0
Person 15,,0,0,1,0,0,0
Person 16,,0,0,0,1,0,0
Person 17,,0,0,0,0,1,0
Person 18,,0,0,0,0,0,1
Person 19,,1,0,0,0,0,0
Person 20,,0,1,0,0,0,0
Person 21,,0,0,1,0,0,0
Person 22,,0,0,0,1,0,0
Person 23,,0,0,0,0,1,0
Person 24,,0,0,0,0,0,1
